id_vente;date_vente;code_produit;code_client;code_region;quantite;prix_unitaire;cout_unitaire;montant;marge;canal
V04001;2026-04-01;P006;C008;R01;5;35000;21000;175000;70000;En ligne
V04002;2026-04-02;P001;C011;R04;3;525000;385000;1575000;420000;Partenaire
V04003;2026-04-03;P002;C014;R03;1;185000;132000;185000;53000;Boutique
V04004;2026-04-04;P003;C017;R02;5;210000;158000;1050000;260000;En ligne
V04005;2026-04-05;P004;C020;R01;3;145000;92000;435000;159000;Partenaire
V04006;2026-04-06;P005;C023;R04;1;175000;118000;175000;57000;Boutique
V04007;2026-04-07;P006;C026;R03;5;35000;21000;175000;70000;En ligne
V04008;2026-04-08;P001;C029;R02;3;525000;385000;1575000;420000;Partenaire
V04009;2026-04-09;P002;C032;R01;1;185000;132000;185000;53000;Boutique
V04010;2026-04-10;P003;C035;R04;5;210000;158000;1050000;260000;En ligne
V04011;2026-04-11;P004;C038;R03;3;145000;92000;435000;159000;Partenaire
V04012;2026-04-12;P005;C001;R02;1;175000;118000;175000;57000;Boutique
V04013;2026-04-13;P006;C004;R01;5;35000;21000;175000;70000;En ligne
V04014;2026-04-14;P001;C007;R04;3;525000;385000;1575000;420000;Partenaire
V04015;2026-04-15;P002;C010;R03;1;185000;132000;185000;53000;Boutique
V04016;2026-04-16;P003;C013;R02;5;210000;158000;1050000;260000;En ligne
V04017;2026-04-17;P004;C016;R01;3;145000;92000;435000;159000;Partenaire
V04018;2026-04-18;P005;C019;R04;1;175000;118000;175000;57000;Boutique
V04019;2026-04-19;P006;C022;R03;5;35000;21000;175000;70000;En ligne
V04020;2026-04-20;P001;C025;R02;3;525000;385000;1575000;420000;Partenaire
V04021;2026-04-21;P002;C028;R01;1;185000;132000;185000;53000;Boutique
V04022;2026-04-22;P003;C031;R04;5;210000;158000;1050000;260000;En ligne
V04023;2026-04-23;P004;C034;R03;3;145000;92000;435000;159000;Partenaire
V04024;2026-04-24;P005;C037;R02;1;175000;118000;175000;57000;Boutique
V04025;2026-04-25;P006;C040;R01;5;35000;21000;175000;70000;En ligne
V04026;2026-04-26;P001;C003;R04;3;525000;385000;1575000;420000;Partenaire
V04027;2026-04-27;P002;C006;R03;1;185000;132000;185000;53000;Boutique
V04028;2026-04-28;P003;C009;R02;5;210000;158000;1050000;260000;En ligne
V04029;2026-04-29;P004;C012;R01;3;145000;92000;435000;159000;Partenaire
V04030;2026-04-30;P005;C015;R04;1;175000;118000;175000;57000;Boutique
