id_vente;date_vente;code_produit;code_client;code_region;quantite;prix_unitaire;cout_unitaire;montant;marge;canal
V01001;2026-01-01;P003;C005;R02;2;210000;158000;420000;104000;En ligne
V01002;2026-01-02;P004;C008;R01;3;145000;92000;435000;159000;Partenaire
V01003;2026-01-03;P005;C011;R04;4;175000;118000;700000;228000;Boutique
V01004;2026-01-04;P006;C014;R03;5;35000;21000;175000;70000;En ligne
V01005;2026-01-05;P001;C017;R02;6;525000;385000;3150000;840000;Partenaire
V01006;2026-01-06;P002;C020;R01;1;185000;132000;185000;53000;Boutique
V01007;2026-01-07;P003;C023;R04;2;210000;158000;420000;104000;En ligne
V01008;2026-01-08;P004;C026;R03;3;145000;92000;435000;159000;Partenaire
V01009;2026-01-09;P005;C029;R02;4;175000;118000;700000;228000;Boutique
V01010;2026-01-10;P006;C032;R01;5;35000;21000;175000;70000;En ligne
V01011;2026-01-11;P001;C035;R04;6;525000;385000;3150000;840000;Partenaire
V01012;2026-01-12;P002;C038;R03;1;185000;132000;185000;53000;Boutique
V01013;2026-01-13;P003;C001;R02;2;210000;158000;420000;104000;En ligne
V01014;2026-01-14;P004;C004;R01;3;145000;92000;435000;159000;Partenaire
V01015;2026-01-15;P005;C007;R04;4;175000;118000;700000;228000;Boutique
V01016;2026-01-16;P006;C010;R03;5;35000;21000;175000;70000;En ligne
V01017;2026-01-17;P001;C013;R02;6;525000;385000;3150000;840000;Partenaire
V01018;2026-01-18;P002;C016;R01;1;185000;132000;185000;53000;Boutique
V01019;2026-01-19;P003;C019;R04;2;210000;158000;420000;104000;En ligne
V01020;2026-01-20;P004;C022;R03;3;145000;92000;435000;159000;Partenaire
V01021;2026-01-21;P005;C025;R02;4;175000;118000;700000;228000;Boutique
V01022;2026-01-22;P006;C028;R01;5;35000;21000;175000;70000;En ligne
V01023;2026-01-23;P001;C031;R04;6;525000;385000;3150000;840000;Partenaire
V01024;2026-01-24;P002;C034;R03;1;185000;132000;185000;53000;Boutique
V01025;2026-01-25;P003;C037;R02;2;210000;158000;420000;104000;En ligne
V01026;2026-01-26;P004;C040;R01;3;145000;92000;435000;159000;Partenaire
V01027;2026-01-27;P005;C003;R04;4;175000;118000;700000;228000;Boutique
V01028;2026-01-28;P006;C006;R03;5;35000;21000;175000;70000;En ligne
V01029;2026-01-29;P001;C009;R02;6;525000;385000;3150000;840000;Partenaire
V01030;2026-01-30;P002;C012;R01;1;185000;132000;185000;53000;Boutique
