date;code_produit;code_region;commercial;quantite;prix_unitaire;cout_unitaire
2026-03-01;P001;N;Awa;1;18000;12240
2026-03-03;P002;S;Moussa;4;9000;6390
2026-03-05;P003;C;Idrissa;7;145000;107300
2026-03-07;P004;O;Fatou;1;32000;21760
2026-03-09;P005;N;Awa;4;24000;17040
2026-03-11;P001;S;Moussa;7;18000;13320
2026-03-13;P002;C;Idrissa;1;9000;6120
2026-03-15;P003;O;Fatou;4;145000;102950
2026-03-17;P004;N;Awa;7;32000;23680
2026-03-19;P005;S;Moussa;1;24000;16320
2026-03-21;P001;C;Idrissa;4;18000;12780
2026-03-23;P002;O;Fatou;7;9000;6660
