date;code_produit;code_region;commercial;quantite;prix_unitaire;cout_unitaire
2026-04-01;P001;N;Awa;1;18000;12240
2026-04-03;P002;S;Moussa;5;9000;6390
2026-04-05;P003;C;Idrissa;9;145000;107300
2026-04-07;P004;O;Fatou;4;32000;21760
2026-04-09;P005;N;Awa;8;24000;17040
2026-04-11;P001;S;Moussa;3;18000;13320
2026-04-13;P002;C;Idrissa;7;9000;6120
2026-04-15;P003;O;Fatou;2;145000;102950
2026-04-17;P004;N;Awa;6;32000;23680
2026-04-19;P005;S;Moussa;1;24000;16320
2026-04-21;P001;C;Idrissa;5;18000;12780
2026-04-23;P002;O;Fatou;9;9000;6660
